Block Name,Category,District Name,HealthBlock ID,HFI,Highlight,Hyper Link,Latitude,Longitude,Nin 2 Hfi,Operational Date,Progressive Date,Quarter of Operational Date,State Name1,Taluka ID,DistrictProgressColor,HFI,Geometry (generated),Latitude (generated),Longitude (generated),test,breastcancer,diabetes,footfall,Hypertension, Oralcancer 
Ramdass,SHC,,40641,Khatrai kalan,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/4137341881,31.8155094,74.8655158,4137341881,28/07/20,28/07/20,Q3,,0,,Khatrai kalan,,31.8155094,74.8655158,,11,990,"6,159","1,084",10
Ramdass,SHC,,40641,Mehlawala,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/1215163641,31.7640607,74.7956409,1215163641,29/07/20,29/07/20,Q3,,0,,Mehlawala,,31.7640607,74.7956409,,0,"1,298","7,738","1,345",113
Ramdass,SHC,,40641,Nangal Sohal,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/2511431245,31.6415607,75.0101831,2511431245,28/07/20,28/07/20,Q3,,0,,Nangal Sohal,,31.6415607,75.0101831,,2,356,"5,410","1,293",70
Ramdass,SHC,,40641,Rokhey,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/2126263132,31.8055057,74.7660746,2126263132,29/07/20,29/07/20,Q3,,0,,Rokhey,,31.8055057,74.7660746,,0,523,"5,959","1,707",1
Ramdass,SHC,,40641,Sainsara Kalan,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/8267514787,31.7739924,74.7898435,8267514787,30/11/19,30/11/19,Q4,,0,,Sainsara Kalan,,31.7739924,74.7898435,,282,615,"13,186","1,943",672
Ramdass,SHC,,40641,Sangatpura,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/6585577445,31.80341984,74.9011728,6585577445,28/07/20,28/07/20,Q3,,0,,Sangatpura,,31.80341984,74.9011728,,683,"1,415","4,721","1,625",690
Ramdass,SHC,,40641,Thoba,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/3437338175,31.9353071,74.8450475,3437338175,29/07/20,29/07/20,Q3,,0,,Thoba,,31.9353071,74.8450475,,18,762,"6,483","1,265",8
Ramdass,SHC,,40641,Vachhoya,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/2275515563,31.8419315,74.8885396,2275515563,29/07/20,29/07/20,Q3,,0,,Vachhoya,,31.8419315,74.8885396,,7,"1,266","6,754","1,820",56
TARSIKKA,SHC,,223,Bagga,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/6588526381,31.7224899,75.163476,6588526381,28/07/20,28/07/20,Q3,,0,,Bagga,,31.7224899,75.163476,,238,"1,688","10,268","1,688","1,688"
TARSIKKA,SHC,,223,Chananke,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/7648558620,31.687274,75.2014114,7648558620,28/07/20,28/07/20,Q3,,0,,Chananke,,31.687274,75.2014114,,629,"1,896","9,081","2,018","1,490"
